2023年04月原材料收发存明细表,,,,,,,,,,
商品编号,商品全名,成品货号,上期存上期数量,上期存上期金额,本期入入库合计数量,本期入入库合计金额,本期出出库合计数量,本期出出库合计金额,本期存本期数量,本期存本期金额
02010116,(手工缝制玩偶--独角兽)彩盒,CH1386,4244,7129.92,,,344,577.92,3900,6552
02010128,(新十字绣艺术卡-骆驼)老彩盒,CH1446,10,11.5,,,,,10,11.5
02010159,(彩色线条刮刮画-哇！动物们）信封,CH1542,1830,2653.5,,,,,1830,2653.5
020101113,(新十字绣艺术卡-狮子)新彩盒,CH1437,3050,4117.5,,,3050,4117.5,,
020101114,(手工缝制玩偶-喵咪)新彩盒,CH1378,4800,8064,,,360,604.8,4440,7459.2
020101119,(手工缝制玩偶-考拉)新彩盒,CH1376,4534,7767.52,,,1504,2677.12,3030,5090.4
020101120,(新十字绣艺术卡-狐狸)新彩盒,CH1441,3050,4117.5,,,3050,4117.5,,
020101122,(新十字绣艺术卡-松鼠)新彩盒,CH1443,3050,4117.5,,,3050,4117.5,,
020101123,(手工缝制玩偶-兔子)新彩盒,CH1377,6080,11645.9,,,,,6080,11645.9
020101130,(新十字绣艺术卡-大象)新彩盒,CH1435,3050,4117.5,,,3050,4117.5,,
020101154,(薄页纸套装-蝴蝶)新彩盒,CH1460,105,157.5,,,,,105,157.5
020101156,(薄页纸套装-火烈鸟)新彩盒,CH1461,240,360,,,,,240,360
020101157,(薄页纸套装-孔雀)新彩盒,CH1462,292,438,,,,,292,438
020101169,(刮刮画-印第安面具)信封,CH1320,800,760,,,,,800,760
020101173,(彩色线条刮刮画-鸟类动物)信封,CH1543,1510,2189.5,,,,,1510,2189.5
020101174,(彩色线条刮刮画-独角兽)信封,CH1545,8220,11919,,,,,8220,11919
020101175,(刮刮画-恐龙)信封,CH1255,1500,1200,,,,,1500,1200
020101189,(刮刮画-小仙女)信封,CH1256,1600,1280,,,,,1600,1280
020101191,(Key Chain-独角兽)小纸筒,CH1628,180,599.4,,,180,599.4,,
020101192,(Key Chain-猫头鹰)小纸筒,CH1629,462,1538.46,,,462,1538.46,,
020101194,(Key Chain-羊驼)小纸筒,CH1631,1982,6562.78,,,932,3066.28,1050,3496.5
020101196,(Key Chain-鹿)小纸筒,CH1633,698,2296.42,,,164,539.56,534,1756.86
020101197,(Key Chain-企鹅)小纸筒,CH1634,1178,3404.42,,,360,1040.4,818,2364.02
020101199,(Doll-独角兽)大纸筒,CH1620,986,4623.84,,,986,4623.84,,
020101202,(Doll-羊驼)大纸筒,CH1623,1434,6883.2,,,328,1574.4,1106,5308.8
020101204,(Doll-鹿)大纸筒,CH1625,3030,14544,,,384,1843.2,2646,12700.8
020101205,(Doll-企鹅)大纸筒,CH1626,3050,14640,,,620,2976,2430,11664
020101263,彩盒,CH191696,2664,1465.2,2050,1127.5,360,198,4354,2394.7
020101264,彩盒,CH191697,2124,1168.2,,,,,2124,1168.2
020101265,彩盒,CH191699,3852,2118.6,2050,1127.5,1288,708.4,4614,2537.7
